Time,air_temp_10 ---> air_temp_9,air_temp_9 ---> air_temp_8,air_temp_8 ---> air_temp_7,air_temp_7 ---> air_temp_6,air_temp_6 ---> air_temp_5,air_temp_5 ---> air_temp_4,air_temp_4 ---> air_temp_3,air_temp_3 ---> air_temp_2
2020-11-23 09:00:16,4.169707842161892e-07,5.120968027882631e-07,8.672583494043181e-07,4.7055012568793254e-07,2.458787908458234e-07,2.15459938198724e-05,9.992639785957074e-07,2.9447261991039087e-06
2020-11-23 10:00:16,4.1932521232386806e-07,5.064140213768642e-07,8.662535923700376e-07,4.759442758267515e-07,2.546661326321021e-07,2.368376588554936e-05,9.221765258231666e-07,2.4370815267848445e-05
2020-11-23 11:00:16,4.195292007137001e-07,5.011405941366482e-07,8.643803119290738e-07,4.790866454371926e-07,2.615534487544515e-07,2.5313041921629965e-05,8.837997883282053e-07,-3.1388172183844504e-06
2020-11-23 12:00:16,4.187018813872858e-07,4.961513984004833e-07,8.615252996205342e-07,4.80821668984094e-07,2.6674368148998064e-07,2.6724820339224925e-05,8.677327664146713e-07,-1.3733504630525724e-06
2020-11-23 13:00:16,4.194070924976598e-07,4.921189008216861e-07,8.583782867300639e-07,4.819376375661406e-07,2.7004403490606667e-07,2.7933465123027467e-05,8.622231907462263e-07,-8.650752548058603e-07
2020-11-23 14:00:16,4.1991606154727246e-07,4.897943659078147e-07,8.564812780672903e-07,4.84007267959332e-07,2.7147280799275893e-07,2.8902876724201957e-05,8.580768794943381e-07,-6.315592664535324e-07
2020-11-23 15:00:16,4.1620864534163263e-07,4.881504589616357e-07,8.573968222931714e-07,4.860307199599199e-07,2.7180676567102116e-07,2.99458384507707e-05,8.458469649017994e-07,-5.08063298010317e-07
2020-11-23 16:00:16,4.07079029435463e-07,4.852335495233913e-07,8.600480458496188e-07,4.882928163861987e-07,2.719700166011602e-07,3.104527437437645e-05,8.217189650226711e-07,-4.3293931071159047e-07
2020-11-23 17:00:16,3.957211958056256e-07,4.805855862028505e-07,8.612335685473779e-07,4.903102897834391e-07,2.7256564558602683e-07,3.212153850449189e-05,7.929693024602284e-07,-3.842430328675934e-07
2020-11-23 18:00:16,3.8464674539822893e-07,4.7553027853094103e-07,8.589547916375066e-07,4.912393372730368e-07,2.736373204125357e-07,3.322249298315642e-05,7.67948294362069e-07,-3.5004878396511815e-07
2020-11-23 19:00:16,3.757041096573875e-07,4.715704679944432e-07,8.550304636875018e-07,4.913269293235138e-07,2.754820140033682e-07,3.4479172941506405e-05,7.465939778261059e-07,-3.2656870630046875e-07
2020-11-23 20:00:16,3.6805533144228707e-07,4.692687838357483e-07,8.513316878613713e-07,4.909404719554098e-07,2.7734803653159915e-07,3.581486756324902e-05,7.295040843184394e-07,-3.1315292362714964e-07
2020-11-23 21:00:16,3.6239289816720323e-07,4.697800869860213e-07,8.499755797020269e-07,4.91089330041004e-07,2.790953119052429e-07,3.715049901492229e-05,7.162718808974766e-07,-3.072416611846597e-07
2020-11-23 22:00:16,3.5677737218784024e-07,4.725937585277599e-07,8.528687177060198e-07,4.931999398406479e-07,2.811990109036756e-07,3.8413414936307725e-05,7.049381081151468e-07,-3.0762074451702245e-07
2020-11-23 23:00:16,3.483032647470404e-07,4.7658865881340416e-07,8.607581847959675e-07,4.978317880341663e-07,2.840850932728027e-07,3.997857828434865e-05,6.991424753402981e-07,-3.149800600661921e-07
2020-11-24 00:00:16,3.374454173969243e-07,4.805302712656698e-07,8.714444674341746e-07,5.053749745936021e-07,2.8825805737181555e-07,4.185570887875717e-05,6.974274170853969e-07,-3.2843785193796827e-07
2020-11-24 01:00:16,3.238815188041075e-07,4.839683476709944e-07,8.821812765470846e-07,5.153661513372798e-07,2.9399953668288524e-07,4.437580713006818e-05,7.017637582072645e-07,-3.45950285127529e-07
2020-11-24 02:00:16,3.086926257464081e-07,4.86250267528144e-07,8.92315531052396e-07,5.257053745018826e-07,3.0147517930620734e-07,4.7516966950144605e-05,7.13896126105585e-07,-3.702490606034971e-07
2020-11-24 03:00:16,2.938784703319099e-07,4.874022845649646e-07,9.00277303786112e-07,5.348753866637457e-07,3.102040283281035e-07,5.1508947267907196e-05,7.326463075217107e-07,-4.010823076926867e-07
2020-11-24 04:00:16,2.7981956187508855e-07,4.875527800135027e-07,9.038614874870888e-07,5.429854915363221e-07,3.1981695764819227e-07,5.543360494546867e-05,7.566546984437155e-07,-4.3469740107227186e-07
2020-11-24 05:00:16,2.670703831426838e-07,4.87329839636062e-07,9.03374411987763e-07,5.488647990716913e-07,3.288517715959137e-07,5.9992016507710296e-05,7.827580326368803e-07,-4.733619403180389e-07
2020-11-24 06:00:16,2.5298538558915253e-07,4.869782978976379e-07,9.0027379522288e-07,5.53136168861068e-07,3.3718340139281974e-07,6.486229644844113e-05,8.139657912106667e-07,-5.17135846297169e-07
2020-11-24 07:00:16,2.412925464304504e-07,4.860388584398623e-07,8.953946657485511e-07,5.548985188313034e-07,3.4371105298628834e-07,7.017385951810649e-05,8.406061527719073e-07,-5.762143161619819e-07
2020-11-24 08:00:16,2.3067667938736907e-07,4.85307898487028e-07,8.889492449377478e-07,5.543192949106226e-07,3.484102418868183e-07,7.493469614358361e-05,8.650891477381513e-07,-6.439164734989524e-07
2020-11-24 09:00:16,2.2114804306765886e-07,4.84443103565691e-07,8.808327054324924e-07,5.516781595498761e-07,3.510019741832159e-07,7.95091390730891e-05,8.833670477582068e-07,-7.20768422590957e-07
2020-11-24 10:00:16,2.12434232536416e-07,4.843682705564757e-07,8.723688684598062e-07,5.476581883817372e-07,3.515096041362523e-07,8.336922736570529e-05,8.970438896212784e-07,-8.080633906851081e-07
2020-11-24 11:00:16,2.0410891053184776e-07,4.851389626402503e-07,8.654641950320666e-07,5.431117150253075e-07,3.503576694653467e-07,8.668993184506926e-05,9.050931115118304e-07,-9.089228181903707e-07
2020-11-24 12:00:16,1.9612637772185467e-07,4.860989411147219e-07,8.590074200421506e-07,5.39034850982666e-07,3.4826645132987224e-07,8.893177575178546e-05,9.089299598448215e-07,-1.0165804605200196e-06
2020-11-24 13:00:16,1.8796968147340692e-07,4.871979131125119e-07,8.53345177224223e-07,5.356213490740175e-07,3.456283507314344e-07,9.078871719747929e-05,9.092629843769984e-07,-1.1363875365305206e-06
2020-11-24 14:00:16,-2.9668755439498857e-10,4.878053146140252e-07,8.481679719087412e-07,5.327033824961292e-07,3.42667567034555e-07,9.234856714047089e-05,9.074489766995634e-07,-1.2894654742793284e-06
2020-11-24 15:00:16,-2.9743880878692907e-10,4.879785789088793e-07,8.423076172461776e-07,5.297015904274572e-07,3.3955053546461105e-07,9.387278152879163e-05,9.027504561448345e-07,-1.488146225588474e-06
2020-11-24 16:00:16,-2.9855862282807696e-10,4.877501071769883e-07,8.361093221734664e-07,5.255445574512329e-07,3.365382293811456e-07,9.581266367398606e-05,8.954327958965295e-07,-1.7555286059695813e-06
2020-11-24 17:00:16,-3.015365108202931e-10,4.865140096386368e-07,8.288480530307449e-07,5.205233731266865e-07,3.3331597555970643e-07,9.831325748148633e-05,8.879708516164251e-07,-2.12756670624474e-06
2020-11-24 18:00:16,-3.051388762879768e-10,4.856802493780196e-07,8.206095950003176e-07,5.142428747373634e-07,3.3000577098525547e-07,9.899734288267175e-05,8.813339198968365e-07,-2.630219234621065e-06
2020-11-24 19:00:16,-3.081181012066041e-10,4.865383794548598e-07,8.139181458158785e-07,5.078401982299873e-07,3.2625861873885776e-07,0.00010053923949007531,8.759600957265221e-07,-3.4044619943387257e-06
2020-11-24 20:00:16,-3.1047247779350497e-10,4.884921056287736e-07,8.093486576439297e-07,5.022347139507688e-07,3.216000145359937e-07,0.00010155563030793882,8.678066760256812e-07,-4.7639051337731074e-06
2020-11-24 21:00:16,-3.1186370028137276e-10,4.909585666228762e-07,8.057347513640063e-07,4.97980429983074e-07,3.164963450013367e-07,0.00010166656145906309,8.567152461651188e-07,-7.787616434382719e-06
2020-11-24 22:00:16,-3.129849524764725e-10,4.942291721393086e-07,8.035523021884748e-07,4.948356595420984e-07,3.1145304271379744e-07,0.0001017151167891897,8.452534882434556e-07,-1.9511994663268447e-05
2020-11-24 23:00:16,-3.140501390330431e-10,4.975017142221389e-07,8.021763913746922e-07,4.928551900693036e-07,3.066901445959885e-07,0.00010175019186858975,8.340525983478175e-07,4.3273614528470636e-05
2020-11-25 00:00:16,-3.1282291766157534e-10,5.014492849734148e-07,8.024608374393482e-07,4.922640338278937e-07,3.023242648439312e-07,0.000102145245932634,8.231742146680554e-07,1.0485146126245888e-05
2020-11-25 01:00:16,-3.1184527158104525e-10,5.051431971557045e-07,8.048715693428749e-07,4.926059353231036e-07,2.9877155335578676e-07,0.00010230583115651658,8.126564814624206e-07,5.8972973148082054e-06
2020-11-25 02:00:16,-3.101740719834073e-10,5.078554550065629e-07,8.085820654874229e-07,4.935314168966555e-07,2.959570989698501e-07,0.00010204282743393696,8.032283418348531e-07,4.040354289827289e-06
2020-11-25 03:00:16,-3.1122286982513257e-10,5.095223682091563e-07,8.108789774466802e-07,4.938421544450646e-07,2.933983810485892e-07,0.00010338830204112974,7.914521744261388e-07,3.0066517502650777e-06
2020-11-25 04:00:16,-3.1120143640394207e-10,5.118044288366284e-07,8.111824295259618e-07,4.939526366547775e-07,2.9126603023771454e-07,0.00010384651632343183,7.818393194016378e-07,2.4575933841707607e-06
2020-11-25 05:00:16,-3.0982439236362495e-10,5.146505255125933e-07,8.121190227389096e-07,4.936639440601795e-07,2.8952344577483627e-07,0.00010449932678021946,7.742671471272038e-07,2.1358763300570816e-06
2020-11-25 06:00:16,-3.079492244452327e-10,5.167230538382052e-07,8.135221407509789e-07,4.934649002581159e-07,2.881227268285743e-07,0.00010445181113482213,7.698507178404186e-07,1.945469800831366e-06
2020-11-25 07:00:16,-3.076452969493285e-10,5.164295734224143e-07,8.130818124894931e-07,4.92608582511173e-07,2.869803483419023e-07,0.00010543890534280827,7.656550350932286e-07,1.806116614858997e-06
