DATETIME,TA,RH,VW,ISWR,RSWR,ILWR,TSS,PSUM,HS,TSG
,C,%,M/S,W/M2,W/M2,W/M2,C,MM,MM,C
2020-10-07T13:00:00,13.3,26.14,0.75,0,0,231.1,2.89,425.196,166.878,5.24
2020-10-07T14:00:00,11.94,31.72,0.81,0,0,229.6,2.48,424.942,153.924,5.03
2020-10-07T15:00:00,12.11,36.19,0.76,21.98,3.75,232.9,3.22,424.688,157.988,5.1
2020-10-07T16:00:00,13.63,32.65,0.47,57.11,10.37,234.3,4.82,424.688,160.02,5.69
2020-10-07T17:00:00,16.22,29.89,0.41,106.7,21.03,237.6,7.07,424.688,164.084,6.7
2020-10-07T18:00:00,20.61,21.07,0.84,528.1,55.12,246.6,13.16,424.942,165.1,9.66
2020-10-07T19:00:00,21.21,29.78,0.61,591.5,57.39,274.3,21.54,425.196,160.02,14.53
2020-10-07T20:00:00,21.47,25.28,0.53,623.1,64.97,272.3,23.91,425.45,161.036,17.55
2020-10-07T21:00:00,22.26,22.67,0.71,640.1,74.8,280.6,29.57,425.958,163.068,21.83
2020-10-07T22:00:00,21.89,23.86,0.68,496.1,59.07,274.4,28.67,426.212,154.94,23.61
2020-10-07T23:00:00,20.18,21.65,0.51,313.4,35.11,267.2,22.73,426.212,156.972,21.57
2020-10-08T00:00:00,19.51,22.04,0.3,132.8,20.78,265.1,17.85,426.212,162.052,19.26
2020-10-08T01:00:00,18.05,22.3,0.47,57.65,12.34,249,13.77,426.212,160.02,17.1
2020-10-08T02:00:00,14.85,20.18,0.65,0,3.18,235.5,7.93,426.212,157.988,13.57
2020-10-08T03:00:00,14.43,21.42,0.76,0,4.55,236.5,6.16,426.212,159.004,10.98
2020-10-08T04:00:00,14.21,20.14,0.79,0,4.32,246.4,5.86,425.704,156.972,9.74
2020-10-08T05:00:00,14.25,20.4,0.82,0,4.45,241.8,5.15,425.704,159.004,8.89
2020-10-08T06:00:00,14.38,24.31,0.64,0,4.6,241.3,5.07,425.45,163.068,8.22
2020-10-08T07:00:00,13.67,26.59,0.84,0,4.07,238.6,4.86,425.196,156.972,7.89
2020-10-08T08:00:00,14.26,21.54,0.86,0,4.59,236.6,4.97,425.196,155.956,7.55
2020-10-08T09:00:00,14.23,19.76,0.81,0,4.12,238.8,5.05,424.942,159.004,7.37
2020-10-08T10:00:00,13.58,23.65,0.83,0,4.05,233.2,4.16,424.688,160.02,6.97
2020-10-08T11:00:00,12.75,26.21,0.59,0,0,229.4,3.48,424.688,157.988,6.52
2020-10-08T12:00:00,12.19,26.39,0.66,0,0,225.1,2.75,424.688,157.988,5.91
2020-10-08T13:00:00,12.38,27.43,0.8,0,0,223.1,2.23,424.688,157.988,5.36
